id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,token drift,101,75,44,82,429,ship,baseline,monotonic-signal,raise-signal
m002,g002,grammar width,68,0,27,60,251,ship,edge,drag-penalty,drop-slack
m003,g003,label quality,59,52,27,28,235,ship,recovery,confidence-floor,raise-drag
m004,g004,error locality,58,40,18,29,247,ship,negative,lane-boundary,lower-confidence
m005,g005,token drift,70,36,18,53,315,ship,baseline,monotonic-signal,raise-signal
m006,g006,grammar width,66,61,41,20,222,ship,edge,drag-penalty,drop-slack
m007,g007,label quality,116,22,19,51,480,ship,recovery,confidence-floor,raise-drag
m008,g008,error locality,57,35,20,15,218,ship,negative,lane-boundary,lower-confidence
m009,g009,token drift,84,44,4,64,432,ship,baseline,monotonic-signal,raise-signal
m010,g010,grammar width,87,5,19,87,383,ship,edge,drag-penalty,drop-slack
m011,g011,label quality,53,74,14,103,347,ship,recovery,confidence-floor,raise-drag
m012,g012,error locality,83,71,44,16,287,ship,negative,lane-boundary,lower-confidence
m013,g013,token drift,111,72,16,83,551,ship,baseline,monotonic-signal,raise-signal
m014,g014,grammar width,115,29,10,71,530,ship,edge,drag-penalty,drop-slack
m015,g015,label quality,81,26,36,70,312,ship,recovery,confidence-floor,raise-drag
m016,g016,error locality,111,57,40,18,399,ship,negative,lane-boundary,lower-confidence
m017,g017,token drift,51,75,5,59,323,ship,baseline,monotonic-signal,raise-signal
m018,g018,grammar width,55,5,10,77,272,ship,edge,drag-penalty,drop-slack
m019,g019,label quality,109,59,21,48,480,ship,recovery,confidence-floor,raise-drag
m020,g020,error locality,95,13,39,68,344,ship,negative,lane-boundary,lower-confidence
m021,g021,token drift,57,63,11,59,317,ship,baseline,monotonic-signal,raise-signal
m022,g022,grammar width,72,44,19,27,302,ship,edge,drag-penalty,drop-slack
m023,g023,label quality,43,54,32,41,171,ship,recovery,confidence-floor,raise-drag
m024,g024,error locality,76,21,29,39,277,ship,negative,lane-boundary,lower-confidence
m025,g025,token drift,105,62,12,105,551,ship,baseline,monotonic-signal,raise-signal
m026,g026,grammar width,110,19,5,50,494,ship,edge,drag-penalty,drop-slack
m027,g027,label quality,76,51,52,27,226,ship,recovery,confidence-floor,raise-drag
m028,g028,error locality,107,64,45,50,407,ship,negative,lane-boundary,lower-confidence
m029,g029,token drift,47,73,26,86,269,ship,baseline,monotonic-signal,raise-signal
m030,g030,grammar width,95,0,39,102,365,ship,edge,drag-penalty,drop-slack
