id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,token drift,92,75,44,82,393,ship,baseline,monotonic-signal
g002,grammar width,68,11,27,60,262,ship,edge,drag-penalty
g003,label quality,59,52,20,28,256,ship,recovery,confidence-floor
g004,error locality,58,40,18,42,260,ship,negative,lane-boundary
g005,token drift,61,36,18,53,279,ship,baseline,monotonic-signal
g006,grammar width,66,72,41,20,233,ship,edge,drag-penalty
g007,label quality,116,22,12,51,501,ship,recovery,confidence-floor
g008,error locality,57,35,20,28,231,ship,negative,lane-boundary
g009,token drift,75,44,4,64,396,ship,baseline,monotonic-signal
g010,grammar width,87,16,19,87,394,ship,edge,drag-penalty
g011,label quality,53,74,7,103,368,ship,recovery,confidence-floor
g012,error locality,83,71,44,29,300,ship,negative,lane-boundary
g013,token drift,102,72,16,83,515,ship,baseline,monotonic-signal
g014,grammar width,115,40,10,71,541,ship,edge,drag-penalty
g015,label quality,81,26,29,70,333,ship,recovery,confidence-floor
g016,error locality,111,57,40,31,412,ship,negative,lane-boundary
g017,token drift,42,75,5,59,287,ship,baseline,monotonic-signal
g018,grammar width,55,16,10,77,283,ship,edge,drag-penalty
g019,label quality,109,59,14,48,501,ship,recovery,confidence-floor
g020,error locality,95,13,39,81,357,ship,negative,lane-boundary
g021,token drift,48,63,11,59,281,ship,baseline,monotonic-signal
g022,grammar width,72,55,19,27,313,ship,edge,drag-penalty
g023,label quality,43,54,25,41,192,ship,recovery,confidence-floor
g024,error locality,76,21,29,52,290,ship,negative,lane-boundary
g025,token drift,96,62,12,105,515,ship,baseline,monotonic-signal
g026,grammar width,110,30,5,50,505,ship,edge,drag-penalty
g027,label quality,76,51,45,27,247,ship,recovery,confidence-floor
g028,error locality,107,64,45,63,420,ship,negative,lane-boundary
g029,token drift,38,73,26,86,233,ship,baseline,monotonic-signal
g030,grammar width,95,10,39,102,375,ship,edge,drag-penalty
g031,label quality,83,16,5,28,361,ship,recovery,confidence-floor
g032,error locality,45,57,31,82,226,ship,negative,lane-boundary
g033,token drift,109,45,4,70,539,ship,baseline,monotonic-signal
g034,grammar width,100,41,34,69,408,ship,edge,drag-penalty
g035,label quality,99,77,29,30,416,ship,recovery,confidence-floor
g036,error locality,102,27,43,58,364,ship,negative,lane-boundary
g037,token drift,107,40,37,76,433,ship,baseline,monotonic-signal
g038,grammar width,69,49,14,47,330,ship,edge,drag-penalty
g039,label quality,98,21,25,80,418,ship,recovery,confidence-floor
g040,error locality,116,9,32,58,435,ship,negative,lane-boundary
g041,token drift,40,76,37,26,151,watch,baseline,monotonic-signal
g042,grammar width,94,77,41,40,370,ship,edge,drag-penalty
g043,label quality,36,45,24,51,168,ship,recovery,confidence-floor
g044,error locality,55,31,38,104,241,ship,negative,lane-boundary
g045,token drift,68,62,4,49,371,ship,baseline,monotonic-signal
g046,grammar width,34,10,10,26,142,watch,edge,drag-penalty
g047,label quality,64,21,14,62,297,ship,recovery,confidence-floor
g048,error locality,83,64,39,85,364,ship,negative,lane-boundary
g049,token drift,96,18,32,101,407,ship,baseline,monotonic-signal
g050,grammar width,62,68,30,27,253,ship,edge,drag-penalty
g051,label quality,48,60,30,81,243,ship,recovery,confidence-floor
g052,error locality,89,59,11,69,451,ship,negative,lane-boundary
g053,token drift,113,26,24,68,474,ship,baseline,monotonic-signal
g054,grammar width,84,67,32,29,336,ship,edge,drag-penalty
g055,label quality,117,35,16,57,512,ship,recovery,confidence-floor
g056,error locality,49,56,31,75,234,ship,negative,lane-boundary
g057,token drift,63,69,19,46,310,ship,baseline,monotonic-signal
g058,grammar width,117,8,14,79,513,ship,edge,drag-penalty
g059,label quality,60,15,28,57,228,ship,recovery,confidence-floor
g060,error locality,79,21,22,25,296,ship,negative,lane-boundary
g061,token drift,48,62,41,39,170,ship,baseline,monotonic-signal
g062,grammar width,36,50,10,50,214,ship,edge,drag-penalty
g063,label quality,86,46,17,103,442,ship,recovery,confidence-floor
g064,error locality,62,12,22,48,242,ship,negative,lane-boundary
g065,token drift,53,32,26,25,191,ship,baseline,monotonic-signal
g066,grammar width,52,45,9,61,287,ship,edge,drag-penalty
g067,label quality,55,54,23,84,289,ship,recovery,confidence-floor
g068,error locality,60,26,31,100,273,ship,negative,lane-boundary
g069,token drift,110,14,37,26,369,ship,baseline,monotonic-signal
g070,grammar width,51,11,41,80,172,ship,edge,drag-penalty
g071,label quality,69,12,24,68,284,ship,recovery,confidence-floor
g072,error locality,81,50,17,67,390,ship,negative,lane-boundary
g073,token drift,47,36,15,28,207,ship,baseline,monotonic-signal
g074,grammar width,77,67,15,56,386,ship,edge,drag-penalty
g075,label quality,96,15,38,74,359,ship,recovery,confidence-floor
g076,error locality,109,26,9,45,480,ship,negative,lane-boundary
g077,token drift,75,69,17,78,396,ship,baseline,monotonic-signal
g078,grammar width,105,23,43,56,370,ship,edge,drag-penalty
g079,label quality,36,73,16,24,193,ship,recovery,confidence-floor
g080,error locality,49,65,4,38,287,ship,negative,lane-boundary
g081,token drift,103,64,41,49,402,ship,baseline,monotonic-signal
g082,grammar width,89,31,13,102,450,ship,edge,drag-penalty
g083,label quality,42,72,7,47,266,ship,recovery,confidence-floor
g084,error locality,66,40,26,24,250,ship,negative,lane-boundary
g085,token drift,37,61,37,60,158,ship,baseline,monotonic-signal
g086,grammar width,70,74,44,83,305,ship,edge,drag-penalty
g087,label quality,90,13,7,99,451,ship,recovery,confidence-floor
g088,error locality,104,20,11,25,428,ship,negative,lane-boundary
g089,token drift,70,26,36,79,277,ship,baseline,monotonic-signal
g090,grammar width,101,67,8,67,514,ship,edge,drag-penalty
g091,label quality,32,55,16,66,201,ship,recovery,confidence-floor
g092,error locality,89,51,22,27,368,ship,negative,lane-boundary
g093,token drift,77,17,26,55,302,ship,baseline,monotonic-signal
g094,grammar width,39,37,9,73,239,ship,edge,drag-penalty
g095,label quality,103,50,44,44,374,ship,recovery,confidence-floor
g096,error locality,94,59,42,77,386,ship,negative,lane-boundary
